family_id,role,label,era,default_lane,default_scope,observed_template_count,historical_tg_count,has_historical_result_pair,triage,decision,shelf,paired_result_family,review_note,observed_template_ids
FIRE_EMPATE_DIRETO_G0,FIRE,FIRE EMPATE DIRETO G0,3,MONEY,CANDIDATE_LIVE_FIRE,2,803,False,"{""KEEP"": 2}",PENDING_REVIEW,,,,UNKNOWN__90e0f1c2c368;UNKNOWN__39214121edbe
OPS_AUDIT_360,OPS,OPS AUDIT 360,3,,MUSEUM_OR_OPS_ONLY,4,446,False,"{""KEEP"": 4}",NOT_A_MONEY_FAMILY,,,,UNKNOWN__04e038cd99e2;UNKNOWN__72f258009c59;RESULT__04e038cd99e2;RESULT__72f258009c59
FIRE_G0_DIRETO,FIRE,FIRE G0 DIRETO,3,MONEY,CANDIDATE_LIVE_FIRE,1,167,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,UNKNOWN__273f5cd520e1
FIRE_PREPARE_G1,FIRE,FIRE PREPARE G1,3,MONEY,CANDIDATE_LIVE_FIRE,1,227,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,UNKNOWN__4d1aaad41007
OPS_STREAK_BANNER,OPS,STREAK banner,3,,MUSEUM_OR_OPS_ONLY,8,1711,False,"{""KEEP"": 8}",NOT_A_MONEY_FAMILY,,,,UNKNOWN__7f072d83f21c;UNKNOWN__336276591ca5;UNKNOWN__0ba82ca87c49;UNKNOWN__c6218bae3b93;UNKNOWN__e9aa1fb3056b;UNKNOWN__97e650bfa30c;UNKNOWN__bf601fb97529;RESULT__e460b70a18c6
OPS_CAMADAS_DO_DIA,OPS,CAMADAS DO DIA,3,,MUSEUM_OR_OPS_ONLY,2,1658,False,"{""KEEP"": 2}",NOT_A_MONEY_FAMILY,,,,UNKNOWN__c8536276568a;UNKNOWN__01b01fc56a8a
RESULT_FLASH_WIN,RESULT,RESULT FLASH WIN,4,,CANDIDATE_RESULT_PAIR,1,14,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,RESULT__b35aba4414bc
RESULT_GREEN_COMPACT_G0,RESULT,RESULT GREEN compact G0,4,,CANDIDATE_RESULT_PAIR,2,1588,False,"{""KEEP"": 2}",PENDING_REVIEW,,,,UNKNOWN__1c29ad269f3b;UNKNOWN__57a3596f384a
RESULT_GREEN_COMPACT_G1,RESULT,RESULT GREEN compact G1,4,,CANDIDATE_RESULT_PAIR,1,1674,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,UNKNOWN__eafa158acf69
FIRE_COMPACT_HASH,FIRE,COMPACT SIGNAL #,5,MONEY,CANDIDATE_LIVE_FIRE,21,309,False,"{""KEEP"": 21}",PENDING_REVIEW,,,,UNKNOWN__26f06fa451eb;UNKNOWN__d4732a8c9921;UNKNOWN__5c337aa2e90b;UNKNOWN__f76d678e2099;UNKNOWN__9d91c0c9f1e0;UNKNOWN__ef131153f3cd;UNKNOWN__5dfcbbba0606;UNKNOWN__34bcf23478f6;UNKNOWN__5cfcdd92bff2;UNKNOWN__d68cecb14655;UNKNOWN__65da826874c7;UNKNOWN__7806f44ecbe5;UNKNOWN__b931ab962fac;UNKNOWN__ebe67b7183fa;UNKNOWN__cba33dfb24cf;UNKNOWN__8219332c0777;UNKNOWN__db2b094d22ad;UNKNOWN__fd9fd736bfa7;UNKNOWN__58344a3770b1;UNKNOWN__d46a55535d4d;UNKNOWN__83a89c477a2b
RESULT_COMPACT_LOSS_HASH,RESULT,COMPACT LOSS #,5,,CANDIDATE_RESULT_PAIR,1,83,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,UNKNOWN__9c1a4b1cd34f
RESULT_COMPACT_WIN_HASH,RESULT,COMPACT WIN #,5,,CANDIDATE_RESULT_PAIR,1,174,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,UNKNOWN__840d45706458
RESULT_COMPACT_TIE_HASH,RESULT,COMPACT TIE #,5,,CANDIDATE_RESULT_PAIR,1,12,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,UNKNOWN__251f16fa7cae
FIRE_SOLO_APOSTAR,FIRE,FIRE SOLO APOSTAR AGORA,6,MONEY,CANDIDATE_LIVE_FIRE,1,82,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,UNKNOWN__508cf16e9e0d
FIRE_SEQUENCE_APOSTAR,FIRE,FIRE SEQUENCE APOSTAR AGORA,6,MONEY,CANDIDATE_LIVE_FIRE,1,739,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,UNKNOWN__abf57ae14408
FIRE_GOLDEN_APOSTAR,FIRE,FIRE GOLDEN APOSTAR AGORA,6,MONEY,CANDIDATE_LIVE_FIRE,1,31,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,UNKNOWN__5dbd429d45e0
FIRE_PLATINUM_APOSTAR,FIRE,FIRE PLATINUM APOSTAR AGORA,6,MONEY,CANDIDATE_LIVE_FIRE,1,60,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,UNKNOWN__055912b0c6cc
FIRE_FLASH_APOSTAR,FIRE,FIRE FLASH APOSTAR AGORA,6,MONEY,CANDIDATE_LIVE_FIRE,1,2,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,UNKNOWN__f505eef87cb8
ONLINE_LUXURY_OUTBOX,ONLINE,ONLINE luxury outbox,6,,MUSEUM_OR_OPS_ONLY,5,50,False,"{""KEEP"": 5}",NOT_A_MONEY_FAMILY,,,,UNKNOWN__72eff21032f6;UNKNOWN__4adb753e8904;UNKNOWN__6f726b7bb7ab;UNKNOWN__e359f914c474;UNKNOWN__c3aa8f380d64
FIRE_SEQUENCIA_ENTER_NOW,FIRE,FIRE SEQUência ENTER NOW,6,MONEY,CANDIDATE_LIVE_FIRE,1,4,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,FIRE__682db15e51a6
OPS_ELITE_ANALISANDO,OPS,OPS ELITE ANALISANDO,6,,MUSEUM_OR_OPS_ONLY,1,1737,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,UNKNOWN__3b760a4b4089
OPS_DIVERGENCIA_SALAS,OPS,OPS divergência de salas,6,,MUSEUM_OR_OPS_ONLY,1,418,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,UNKNOWN__35a1730b1880
FIRE_SINAL_RETIDO_LIBERADO,FIRE,FIRE Sinal Retido→Liberado (countdown peak),cd,COUNTDOWN,CANDIDATE_LIVE_FIRE,2,175,False,"{""KEEP"": 2}",PENDING_REVIEW,,,,FIRE__183f767de804;RESULT__183f767de804
CD_FIRE_TIMER_BRT_EDT_APOSTAR,FIRE,CD_FIRE timer BRT/EDT apostar,cd,COUNTDOWN,CANDIDATE_LIVE_FIRE,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,CD_FIRE_TIMER_BRT_EDT_APOSTAR
CD_FIRE_QUANTUM_LOCK,FIRE,CD_FIRE quantum lock,cd,COUNTDOWN,CANDIDATE_LIVE_FIRE,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,CD_FIRE_QUANTUM_LOCK
CD_FIRE_RUSH_NS_LEFT,FIRE,CD_FIRE rush Ns left,cd,COUNTDOWN,CANDIDATE_LIVE_FIRE,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,CD_FIRE_RUSH_NS_LEFT
RESULT_FORENSIC_INTERVALO,RESULT,RESULT resumido forense (G0/G1/G2),forensic,,CANDIDATE_RESULT_PAIR,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,RESULT_FORENSIC_INTERVALO
RESULT_BELL_GANHOU,RESULT,RESULT bell GANHOU/PERDEU,forensic,,CANDIDATE_RESULT_PAIR,1,883,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,RESULT__e0c067cf6d0c
OPS_G1_EXPIROU,OPS,OPS G1 EXPIROU — verificar mesa,ops_result,,MUSEUM_OR_OPS_ONLY,1,27,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,RESULT__4e1c9dedcacd
OPS_G2_MISS,OPS,OPS G2 MISS — perda total,ops_result,,MUSEUM_OR_OPS_ONLY,1,1,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,RESULT__9c0d6a09e56d
FIRE_GOD_TIER,FIRE,FIRE GOD-TIER sync/conf,elite,MONEY,CANDIDATE_LIVE_FIRE,1,105,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,FIRE__a864e514c624
FIRE_GOLDEN_ENTRE_AGORA,FIRE,FIRE GOLDEN ENTRE AGORA (PT),1,MONEY,CANDIDATE_LIVE_FIRE,1,818,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,UNKNOWN__e5c427438d84
FIRE_G0_MISS_ENTRE_G1,FIRE,FIRE G0 miss → enter G1 now,1b,MONEY,CANDIDATE_LIVE_FIRE,3,329,False,"{""KEEP"": 3}",PENDING_REVIEW,,,,UNKNOWN__d3174b8944b4;UNKNOWN__43f381a0bd0b;RESULT__caa1ce8bdffe
RESULT_ORACLE_CARD,RESULT,RESULT ORACLE CARD,oracle,,CANDIDATE_RESULT_PAIR,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,RESULT_ORACLE_CARD
OPS_TIE_ALERT,OPS,OPS alerta de empate / tie alert,2,,MUSEUM_OR_OPS_ONLY,5,6990,False,"{""KEEP"": 5}",NOT_A_MONEY_FAMILY,,,,RESULT__99d46411070f;RESULT__267eb0b8ca6b;RESULT__e88992b79914;RESULT__6b81a93461ef;RESULT__efb078aa7d3f
OPS_CORRECAO,OPS,OPS correção / correction,ops_result,,MUSEUM_OR_OPS_ONLY,1,339,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,UNKNOWN__fb2ebad038a3
OPS_JANELA_PRIME,OPS,OPS janela prime — sinais ativos,cd,,MUSEUM_OR_OPS_ONLY,2,359,False,"{""KEEP"": 2}",NOT_A_MONEY_FAMILY,,,,UNKNOWN__af782032d8bd;RESULT__af782032d8bd
RESULT_COLOR_BANNER,RESULT,RESULT color-bar header (forensic / bell lead-in),forensic,,CANDIDATE_RESULT_PAIR,5,39377,False,"{""KEEP"": 5}",PENDING_REVIEW,,,,RESULT__50015abcc82d;UNKNOWN__bf53965c70ba;RESULT__5a8078203355;RESULT__308a433a6bf4;RESULT__e0b68677ce4f
OPS_SEQUENCE_PREDICTION,OPS,OPS SEQUENCE PREDICTION hint,ops,,MUSEUM_OR_OPS_ONLY,1,11474,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,OPS__8f5ee3836b9b
OPS_GALE_SATURATION,OPS,OPS gale saturation / market status,ops,,MUSEUM_OR_OPS_ONLY,3,2281,False,"{""KEEP"": 3}",NOT_A_MONEY_FAMILY,,,,UNKNOWN__920f2326d81a;UNKNOWN__cba0ad28577c;UNKNOWN__3295b061e7e7
OPS_SELF_CARE_GUARD,OPS,OPS self-care guard ativo,ops,,MUSEUM_OR_OPS_ONLY,3,240,False,"{""KEEP"": 3}",NOT_A_MONEY_FAMILY,,,,UNKNOWN__c0ff932bd7a7;UNKNOWN__b917c44b518b;UNKNOWN__0b4a79081ef9
OPS_PARE_3_PERDAS,OPS,OPS pare de apostar — 3 perdas seguidas,ops,,MUSEUM_OR_OPS_ONLY,1,220,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,UNKNOWN__379ed8f7c12d
FIRE_ENTER_NOW_GENERIC,FIRE,FIRE plain ENTER NOW (gate-era),code,MONEY,CANDIDATE_LIVE_FIRE,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,FIRE_ENTER_NOW_GENERIC
FIRE_ENTRE_AGORA_GENERIC,FIRE,FIRE ENTRE AGORA (virada/streak),code,MONEY,CANDIDATE_LIVE_FIRE,4,285,False,"{""KEEP"": 4}",PENDING_REVIEW,,,,UNKNOWN__95cdceb120fb;UNKNOWN__fc0c383a0eff;UNKNOWN__98f20172c00d;RESULT__98f20172c00d
FIRE_APOSTE_AGORA,FIRE,FIRE APOSTE AGORA block,code,MONEY,CANDIDATE_LIVE_FIRE,2,6,False,"{""KEEP"": 2}",PENDING_REVIEW,,,,UNKNOWN__096acf382746;UNKNOWN__76ed88e48ba3
FIRE_G0_ENTRADA_DIRETA,FIRE,FIRE G0 entrada direta / primeira entrada,code,MONEY,CANDIDATE_LIVE_FIRE,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,FIRE_G0_ENTRADA_DIRETA
FIRE_DEPTH_G0_ONLY,FIRE,FIRE depth G0 only (no retry),code,MONEY,CANDIDATE_LIVE_FIRE,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,FIRE_DEPTH_G0_ONLY
FIRE_INVERTED_CONTRARIO,FIRE,FIRE inverted / contrário signal,code,MONEY,CANDIDATE_LIVE_FIRE,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,FIRE_INVERTED_CONTRARIO
FIRE_ORACLE_LOCK,FIRE,FIRE ORACLE LOCK hour/color WR,code,MONEY,CANDIDATE_LIVE_FIRE,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,FIRE_ORACLE_LOCK
FIRE_CERTIFIED_ELITE,FIRE,FIRE certified elite 100% G0,code,MONEY,CANDIDATE_LIVE_FIRE,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,FIRE_CERTIFIED_ELITE
FIRE_GRADE_BANNER,FIRE,FIRE grade A/B historical G0 banner,code,MONEY,CANDIDATE_LIVE_FIRE,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,FIRE_GRADE_BANNER
FIRE_HOT_STREAK,FIRE,FIRE hot table / win-streak banner,code,MONEY,CANDIDATE_LIVE_FIRE,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,FIRE_HOT_STREAK
FIRE_DOUBLE_TIE_LOCK,FIRE,FIRE double tie lock,code,MONEY,CANDIDATE_LIVE_FIRE,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,FIRE_DOUBLE_TIE_LOCK
FIRE_GALE_1_FACA_AGORA,FIRE,FIRE gale 1 — faça agora,code,MONEY,CANDIDATE_LIVE_FIRE,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,FIRE_GALE_1_FACA_AGORA
OPS_DO_NOT_BET_YET,OPS,OPS do not bet yet — waiting rooms,code,,MUSEUM_OR_OPS_ONLY,1,0,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,OPS_DO_NOT_BET_YET
OPS_PREPARE_PLATFORM,OPS,OPS prepare platform — signal in seconds,code,,MUSEUM_OR_OPS_ONLY,1,0,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,OPS_PREPARE_PLATFORM
OPS_NEXT_CERTIFIED_WINDOW,OPS,OPS next certified window,code,,MUSEUM_OR_OPS_ONLY,1,0,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,OPS_NEXT_CERTIFIED_WINDOW
OPS_JANELA_PEAK,OPS,OPS janela peak / max precision,code,,MUSEUM_OR_OPS_ONLY,1,2,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,UNKNOWN__09822bd8d590
OPS_G1_REGISTRADO_CALC_G2,OPS,OPS G1 recorded — calculating G2,ops_result,,MUSEUM_OR_OPS_ONLY,1,0,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,OPS_G1_REGISTRADO_CALC_G2
OPS_G2_STOP_IF_G1_LOST,OPS,OPS G2 (if G1 lost) → STOP,ops_result,,MUSEUM_OR_OPS_ONLY,1,0,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,OPS_G2_STOP_IF_G1_LOST
OPS_G3_ATINGIDO,OPS,OPS G3 reached — signal closed (MAR20/21 era),ops_result,,MUSEUM_OR_OPS_ONLY,1,1,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,RESULT__455c9045ab98
RESULT_G0_ACERTOU_PRIMEIRA,RESULT,RESULT G0 acertou de primeira,code,,CANDIDATE_RESULT_PAIR,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,RESULT_G0_ACERTOU_PRIMEIRA
RESULT_GALE_RECOVERED_CHAIN,RESULT,RESULT gale recovery chain,code,,CANDIDATE_RESULT_PAIR,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,RESULT_GALE_RECOVERED_CHAIN
RESULT_EMPATE_DINHEIRO_DEVOLVIDO,RESULT,RESULT empate = dinheiro devolvido,code,,CANDIDATE_RESULT_PAIR,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,RESULT_EMPATE_DINHEIRO_DEVOLVIDO
RESULT_EMPATE_PROTECAO,RESULT,RESULT empate — proteção ativada,code,,CANDIDATE_RESULT_PAIR,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,RESULT_EMPATE_PROTECAO
CD_RES_GREEN_G_BRT,RESULT,CD result GREEN G BRT,cd,,CANDIDATE_RESULT_PAIR,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,CD_RES_GREEN_G_BRT
CD_RES_RODADAS_TEMPO,RESULT,CD result rodadas·tempo,cd,,CANDIDATE_RESULT_PAIR,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,CD_RES_RODADAS_TEMPO
CD_RES_BELL_GANHOU,RESULT,CD result bell ganhou,cd,,CANDIDATE_RESULT_PAIR,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,CD_RES_BELL_GANHOU
ROOM_RELAY,ROOM_RELAY,Room relay / placar,noise,,MUSEUM_OR_OPS_ONLY,8,293992,False,"{""KEEP"": 8}",NOT_A_MONEY_FAMILY,,,,RELAY_PROMO;RELAY_ANALISANDO;RELAY_GALE;RELAY_MAO;RELAY_HORARIOS;RELAY_AUTO;RELAY_OTHER;RELAY_ROOM
